,CO,IA,MA,MT,NE,NJ,WI,AZ,IL,MD,MO,TX
,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,testimony,testimony,testimony,testimony,testimony
target_ftm,,,,,,,,,,,,
IDEOLOGY/SINGLE ISSUE_GUN CONTROL,-0.0011507479861910242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_HEALTH & WELFARE POLICY,-0.0023014959723820483,-0.001430615164520744,0.0,-0.004761904761904762,0.0,0.0,-0.014814814814814815,0.0,-0.002198086371864494,0.0,0.0,-0.0005420054200542005
IDEOLOGY/SINGLE ISSUE_HUMAN RIGHTS,-0.0011507479861910242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007757951900698216,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_LIBERAL POLICY ORGANIZATION,0.0,0.0,0.0,0.0,0.0,-0.002596053997923157,-0.007407407407407408,0.0,-0.0019489488921266248,-0.0004801920768307323,0.0,-0.0016260162601626016
IDEOLOGY/SINGLE ISSUE_MINORITY & DISABILITY GROUPS,0.0,0.0,-0.0056461731493099125,-0.004761904761904762,0.0,0.0,0.0,-0.011278195488721804,-0.003287893900772101,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_OTHER/SINGLE ISSUE GROUPS,-0.014107317904786261,-0.0015328019619865114,-0.001710961560396943,-0.00034013605442176874,-0.006314580941446614,0.0,-0.013333333333333332,-0.004699248120300752,-0.0018463925523661752,-0.003781512605042017,-0.0016025641025641027,-0.0025087108013937282
IDEOLOGY/SINGLE ISSUE_PRO-ENVIRONMENTAL POLICY,-0.006367472190257001,-0.000536480686695279,-0.001748982928405764,-0.004421768707482994,-0.008955223880597014,-0.009895547003848268,-0.024338624338624337,-0.015037593984962405,-0.0019282770620232558,-0.0011794191360754828,-0.0016025641025641027,-0.0016260162601626018
IDEOLOGY/SINGLE ISSUE_PUBLIC EDUCATION POLICY,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-0.006015037593984962,-0.0023273855702094647,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_TAX ISSUES,0.0,-0.002145922746781116,0.0,-0.07142857142857142,0.0,0.0,0.0,-0.12280701754385964,-0.0023273855702094647,0.0,0.0,0.0
IDEOLOGY/SINGLE ISSUE_WOMEN'S ISSUES,-0.003222094361334868,0.0,0.0,-0.0015873015873015875,-0.0037313432835820895,0.0,-0.03333333333333333,0.0,-0.0013188518231186967,0.0,0.0,-0.008130081300813009
LABOR_GENERAL TRADE UNIONS,-0.02728916652967286,-0.012398664759179782,-0.0005377307761247535,-0.04880952380952381,-0.0029850746268656717,-0.01557632398753894,-0.052380952380952375,-0.020050125313283207,-0.01070502753126833,-0.02411399342345634,-0.0019230769230769232,-0.0026016260162601626
LABOR_PUBLIC SECTOR UNIONS,-0.0014795331251027453,-0.001430615164520744,-0.0009410288582183187,-0.00272108843537415,-0.008955223880597014,-0.009345794392523364,-0.002777777777777778,0.0,-0.0003216711763704138,0.0,0.0,-0.000580720092915215
LABOR_TRANSPORTATION UNIONS,-0.014959723820483314,0.0,0.0,-0.0011904761904761906,-0.0037313432835820895,0.0,-0.022222222222222223,-0.007518796992481203,-0.017713990173260925,-0.11092436974789915,0.0,0.0
LAWYERS & LOBBYISTS_LAWYERS & LOBBYISTS,-0.007246602183311043,-0.0006131207847946045,-0.0040777917189460475,-0.00625,-0.03582089552238806,0.0,-0.003703703703703704,-0.002506265664160401,-0.0024001163692785104,-0.011644657863145258,-0.001201923076923077,-0.0020012507817385866
PARTY_PARTY COMMITTEES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05012531328320802,-0.0023704853029911216,-0.0005602240896358544,0.0,-0.002710027100271003
TRANSPORTATION_AIR TRANSPORT,-0.018411967779056387,-0.004291845493562232,-0.002509410288582183,0.0,0.0,-0.001557632398753894,0.0,0.0,-0.0003878975950349108,0.0,0.0,0.0
TRANSPORTATION_AUTOMOTIVE,-0.00431530494821634,-0.004291845493562232,-0.0014023175142076907,-0.005714285714285714,0.0,-0.002803738317757009,-0.023148148148148147,-0.0010741138560687433,-0.0007757951900698217,-0.006946778711484594,0.0,-0.000848356309650053
TRANSPORTATION_MISCELLANEOUS TRANSPORT,-0.0009863554167351635,0.0,-0.0012547051442910915,-0.023809523809523808,0.0,-0.0020768431983385254,-0.011111111111111112,-0.002819548872180451,-0.010537884665115077,-0.003361344537815126,0.0,-0.001951219512195122
TRANSPORTATION_SEA TRANSPORT,0.0,0.0,0.0,0.0,0.0,-0.01557632398753894,0.0,0.0,0.0,0.0,0.0,-0.0032520325203252032
TRANSPORTATION_TRUCKING,-0.05063291139240506,-0.006437768240343348,-0.0012547051442910915,0.0,0.0,0.0,-0.05925925925925926,-0.03759398496240601,-0.011442979053529869,-0.010084033613445379,-0.012820512820512822,0.0
UNKNOWN_UNKNOWN,-0.0011507479861910242,0.0,0.0,0.0,0.0,-0.001557632398753894,0.0,0.0,-0.002327385570209465,-0.0008403361344537816,0.0,-0.0016260162601626018
