state_long,Seats,Senate,sen_dem_ct,sen_rep_ct,other,House,hou_dem_ct,hou_rep_ct,other,year,st
Louisiana,144,39,14,25,,105,42,60,3,2017,LA
Maine,186,35,17,18,,151,77,72,2,2017,ME
Maryland,188,47,33,14,,141,90,51,,2017,MD
Massachusetts,200,40,34,6,,160,125,35,,2017,MA
Michigan,148,38,11,27,,110,47,63,,2017,MI
Minnesota,201,67,33,34,,134,57,77,,2017,MN
Mississippi,174,52,20,32,,122,48,74,,2017,MS
Missouri,197,34,9,25,,163,46,117,,2017,MO
Montana,150,50,18,32,,100,41,59,,2017,MT
Nebraska,49,49,,,49,,,,,2017,NE
Nevada,63,21,11,9,1,42,27,15,,2017,NV
New Hampshire,424,24,10,14,,400,175,225,,2017,NH
New Jersey,120,40,24,16,,80,52,28,,2017,NJ
New Mexico,112,42,26,16,,70,38,32,,2017,NM
New York*,213,63,32,31,,150,107,43,,2017,NY
North Carolina,170,50,15,35,,120,46,74,,2017,NC
North Dakota,141,47,9,38,,94,13,81,,2017,ND
Ohio,132,33,9,24,,99,33,66,,2017,OH
Oklahoma,149,48,6,42,,101,26,75,,2017,OK
Oregon,90,30,17,13,,60,35,25,,2017,OR
Pennsylvania,253,50,16,34,,203,80,122,1v,2017,PA
Rhode Island,113,38,33,5,,75,64,10,1,2017,RI
South Carolina,170,46,18,28,,124,44,80,,2017,SC
South Dakota,105,35,6,29,,70,10,60,,2017,SD
Tennessee,132,33,5,28,,99,25,74,,2017,TN
Texas,181,31,11,20,,150,56,94,,2017,TX
Utah,104,29,5,24,,75,13,62,,2017,UT
Vermont*,180,30,23,7,,150,84,53,13,2017,VT
Virginia,140,40,19,21,,100,34,66,,2017,VA
Washington*,147,49,25,24,,98,50,48,,2017,WA
West Virginia,134,34,12,22,,100,36,63,1,2017,WV
Wisconsin,132,33,13,20,,99,35,64,,2017,WI
Wyoming,90,30,3,27,,60,9,51,,2017,WY
Alabama,140,35,7,26,"1, 1v",105,33,70,2v,2018,AL
Alaska*,60,20,6,14,,40,16,21,"2, 1v",2018,AK
Arizona,90,30,13,16,1v,60,25,35,,2018,AZ
Arkansas,135,35,9,24,2v,100,24,75,1v,2018,AR
California,120,40,27,13,,80,52,25,3v,2018,CA
Colorado,100,35,16,18,1,65,37,27,1v,2018,CO
Connecticut*,187,36,18,18,,151,78,71,2v,2018,CT
Delaware,62,21,11,10,,41,25,16,,2018,DE
Florida,160,40,15,24,1v,120,40,76,4v,2018,FL
Georgia,236,56,19,36,1v,180,64,114,2v,2018,GA
Hawaii,76,25,25,0,,51,45,5,1v,2018,HI
Idaho,105,35,6,29,,70,11,59,,2018,ID
Illinois,177,59,37,22,,118,66,51,1v,2018,IL
Indiana,150,50,9,40,1v,100,30,70,,2018,IN
Iowa,150,50,20,29,1,100,41,59,,2018,IA
Kansas,165,40,9,31,,125,40,85,,2018,KS
Kentucky,138,38,11,27,,100,36,63,1v,2018,KY
Louisiana,144,39,14,25,,105,41,61,3,2018,LA
Maine,186,35,17,18,,151,74,70,7,2018,ME
Maryland,188,47,33,14,,141,91,49,1v,2018,MD
Massachusetts,200,40,32,7,1v,160,124,34,"1, 1v",2018,MA
Michigan,148,38,11,27,,110,47,63,,2018,MI
Minnesota,201,67,32,34,1v,134,57,76,1v,2018,MN
Mississippi,174,52,19,32,1v,122,48,73,1v,2018,MS
Missouri,197,34,9,25,,163,46,112,5v,2018,MO
Montana,150,50,18,32,,100,41,58,1v,2018,MT
Nebraska,49,49,,,49,,,,,2018,NE
Nevada,63,21,10,9,"1, 1v",42,27,14,1v,2018,NV
New Hampshire,424,24,10,14,,400,175,218,"3, 4v",2018,NH
